state,district,latitude,longitude
West Bengal,Dakshin Dinajpur,25.385807,88.5063362
West Bengal,Darjeeling,27.0377554,88.263176
Uttarakhand,Champawat,29.235032,80.1023068
Bihar,Jehanabad,25.1529579,85.0065043
Bihar,Khagaria,25.4930513,86.6982264
Bihar,Lakhisarai,25.1543938,86.1744959
Meghalaya,South Garo Hills,25.347969,90.5657773
Tamil Nadu,Virudhunagar,9.4926289,77.8631831
Jharkhand,Sahibganj,25.0320437,87.691764
Gujarat,Anand,22.4739858,72.7361779
Jammu and Kashmir,Srinagar,34.0747444,74.8204443
Madhya Pradesh,Datia,25.9182947,78.6644962
Bihar,Buxar,25.5044834,84.1097525
Tamil Nadu,Chennai,13.0836939,80.270186
Tamil Nadu,Ariyalur,11.1530559,79.2585797
Kerala,Kottayam,9.6287383,76.6455326
Goa,North Goa,15.6038925,73.9967006
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.233792,73.0495173
Bihar,Bhojpur,25.4501182,84.5635193
Bihar,Begusarai,25.5125411,86.0883392
Assam,Nalbari,26.3533632,91.3983662
Tamil Nadu,Perambalur,11.2902641,78.9300404
Jharkhand,Lohardaga,23.4770044,84.6986684
Haryana,Fatehabad,29.5359209,75.5752901
Jammu and Kashmir,Budgam,33.9098746,74.6270357
Uttar Pradesh,Hathras,27.5724324,78.1116209
Uttar Pradesh,Hamirpur,25.75,80.0
Uttar Pradesh,Kaushambi,25.5342456,81.4493567
Haryana,Jind,29.3152073,76.314082
Haryana,Rewari,28.1956468,76.6165179
Haryana,Panipat,29.3912753,76.9771675
Uttar Pradesh,Bhadohi,25.424304,82.4883923
Andhra Pradesh,Hyderabad,15.8136411,78.0275033
Jharkhand,Pashchim Singhbhum,22.56,85.74
Andhra Pradesh,Vishakhapatnam,17.6868,83.2185
Himachal Pradesh,Lahul and Spiti,32.22,78.0
Andhra Pradesh,Rangareddi,17.389,78.45
Jharkhand,Purba Singhbhum,22.8046,86.2029
Jammu and Kashmir,Kupwara (Muzaffarabad),34.526,74.255
Tamil Nadu,Tirunelveli Kattabo,8.7139,77.7567
Punjab,Nawan Shehar,31.1249,76.1161
Jharkhand,West Singhbhum,22.558,85.788
Jharkhand,East Singhbhum,22.8046,86.2029
Andhra Pradesh,Visakhapatnam,17.6868,83.2185
Andhra Pradesh,Rangareddy,17.4065,78.4772
Himachal Pradesh,Lahaul and Spiti,32.57,77.03
Jammu and Kashmir,Kupwara,34.526,74.256
Tamil Nadu,Tirunelveli,8.7139,77.7567
Punjab,Shaheed Bhagat Singh Nagar,31.125,76.116
Jammu and Kashmir,Leh,34.1664372,74.808529
Assam,Karimganj,24.5828196,92.3725487
Kerala,Pattanamtitta,9.2648,76.787
