state,district,flood_probability,risk_level,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_30d,rainfall_ml_probability,weather_probability,satellite_probability,final_flood_probability,alert,alert_priority,prediction_confidence,risk_evidence,alert_message
Manipur,Senapati,0.7208635990778263,HIGH,52.25,709.8699999999999,875.5849893000002,5872.6049653,0.720864,0.0,0.0,0.720864,True,2,MEDIUM,strong rainfall ML signal (72.1%),"HIGH flood risk detected in Senapati, Manipur. Probability: 72.1%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (72.1%)."
Meghalaya,West Garo Hills,0.7194962653597259,HIGH,83.81,962.4699999999998,1054.249998,5948.334846,0.719496,0.0,0.0,0.719496,True,2,MEDIUM,strong rainfall ML signal (71.9%),"HIGH flood risk detected in West Garo Hills, Meghalaya. Probability: 71.9%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.9%)."
Uttar Pradesh,Sultanpur,0.7193496627653075,HIGH,92.52,986.2449699999992,1301.1799699899989,11397.47481979,0.71935,0.0,0.0,0.71935,True,2,MEDIUM,strong rainfall ML signal (71.9%),"HIGH flood risk detected in Sultanpur, Uttar Pradesh. Probability: 71.9%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.9%)."
Maharashtra,Nashik,0.7193373491414876,HIGH,391.505,932.4399680000004,1141.0899539999996,5948.6898611,0.719337,0.0,0.0,0.719337,True,2,MEDIUM,strong rainfall ML signal (71.9%),"HIGH flood risk detected in Nashik, Maharashtra. Probability: 71.9%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.9%)."
Meghalaya,East Garo Hills,0.7190835362266209,HIGH,43.14,681.0549799999997,892.4499736000005,7560.589754,0.719084,0.0,0.0,0.719084,True,2,MEDIUM,strong rainfall ML signal (71.9%),"HIGH flood risk detected in East Garo Hills, Meghalaya. Probability: 71.9%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.9%)."
Rajasthan,Rajsamand,0.7184509364403396,HIGH,17.145,896.0549700000006,1054.484963969999,9328.79986817,0.718451,0.0,0.0,0.718451,True,2,MEDIUM,strong rainfall ML signal (71.8%),"HIGH flood risk detected in Rajsamand, Rajasthan. Probability: 71.8%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.8%)."
Uttar Pradesh,Bulandshahr,0.7180799726013107,HIGH,112.865,641.4099799999997,799.9349688,6011.8798888,0.71808,0.0,0.0,0.71808,True,2,MEDIUM,strong rainfall ML signal (71.8%),"HIGH flood risk detected in Bulandshahr, Uttar Pradesh. Probability: 71.8%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.8%)."
Chhattisgarh,Janjgir-Champa,0.7177346896188339,HIGH,178.08499,596.59001,661.60001,4781.9799082,0.717735,0.0,0.0,0.717735,True,2,MEDIUM,strong rainfall ML signal (71.8%),"HIGH flood risk detected in Janjgir-Champa, Chhattisgarh. Probability: 71.8%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.8%)."
Uttar Pradesh,Unnao,0.7172744240266798,HIGH,25.229998,335.0050030000008,496.449998998,7149.884822998,0.717274,0.0,0.0,0.717274,True,2,MEDIUM,strong rainfall ML signal (71.7%),"HIGH flood risk detected in Unnao, Uttar Pradesh. Probability: 71.7%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.7%)."
Orissa,Nuapada,0.7171734374929657,HIGH,371.27997,927.394964,1133.0549639999992,7671.709738,0.717173,0.0,0.0,0.717173,True,2,MEDIUM,strong rainfall ML signal (71.7%),"HIGH flood risk detected in Nuapada, Orissa. Probability: 71.7%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.7%)."
West Bengal,East Midnapore,0.7161105624586587,HIGH,260.58,1331.1500000000003,1474.18,10318.039734,0.716111,0.0,0.0,0.716111,True,2,MEDIUM,strong rainfall ML signal (71.6%),"HIGH flood risk detected in East Midnapore, West Bengal. Probability: 71.6%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.6%)."
Uttaranchal,Tehri Garhwal,0.7160860982161619,HIGH,57.964996,977.7649960000005,1175.0149958000002,5760.4849128,0.716086,0.0,0.0,0.716086,True,2,MEDIUM,strong rainfall ML signal (71.6%),"HIGH flood risk detected in Tehri Garhwal, Uttaranchal. Probability: 71.6%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.6%)."
Maharashtra,Kolhapur,0.7139697952647969,HIGH,276.73502,571.3350199999995,954.6900190000006,4695.410003880001,0.71397,0.0,0.0,0.71397,True,2,MEDIUM,strong rainfall ML signal (71.4%),"HIGH flood risk detected in Kolhapur, Maharashtra. Probability: 71.4%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.4%)."
Meghalaya,Jaintia Hills,0.7137766612943244,HIGH,52.425,521.6949699999997,626.7399689499998,4828.49985805,0.713777,0.0,0.0,0.713777,True,2,MEDIUM,strong rainfall ML signal (71.4%),"HIGH flood risk detected in Jaintia Hills, Meghalaya. Probability: 71.4%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.4%)."
Rajasthan,Kota,0.7137522311486751,HIGH,34.144997,1169.899957,1289.8449508999995,10588.6898216,0.713752,0.0,0.0,0.713752,True,2,MEDIUM,strong rainfall ML signal (71.4%),"HIGH flood risk detected in Kota, Rajasthan. Probability: 71.4%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.4%)."
Arunachal Pradesh,Tawang,0.7137087823294367,HIGH,17.05,266.8349899999993,338.474989676,4925.149939476,0.713709,0.0,0.0,0.713709,True,2,MEDIUM,strong rainfall ML signal (71.4%),"HIGH flood risk detected in Tawang, Arunachal Pradesh. Probability: 71.4%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.4%)."
Arunachal Pradesh,West Kameng,0.710659037945824,HIGH,234.635,849.2699799999999,924.3099798000007,8808.0498838,0.710659,0.0,0.0,0.710659,True,2,MEDIUM,strong rainfall ML signal (71.1%),"HIGH flood risk detected in West Kameng, Arunachal Pradesh. Probability: 71.1%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.1%)."
Uttar Pradesh,Auraiya,0.709567487962678,HIGH,2.435,214.9499950000004,333.449995004,4916.959892074,0.709567,0.0,0.0,0.709567,True,2,MEDIUM,strong rainfall ML signal (71.0%),"HIGH flood risk detected in Auraiya, Uttar Pradesh. Probability: 71.0%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (71.0%)."
Tripura,Dhalai,0.7080991135026641,HIGH,24.595,947.2649300000002,1082.5449299999998,5701.489819699999,0.708099,0.0,0.0,0.708099,True,2,MEDIUM,strong rainfall ML signal (70.8%),"HIGH flood risk detected in Dhalai, Tripura. Probability: 70.8%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.8%)."
Madhya Pradesh,Jhabua,0.7073316285319584,HIGH,191.08,1558.5500000000006,1802.8899900000004,10086.099845,0.707332,0.0,0.0,0.707332,True,2,MEDIUM,strong rainfall ML signal (70.7%),"HIGH flood risk detected in Jhabua, Madhya Pradesh. Probability: 70.7%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.7%)."
Assam,North Cachar Hills,0.7065780939210087,HIGH,128.00499,1217.7699900000007,1379.22498388,8838.90993888,0.706578,0.0,0.0,0.706578,True,2,MEDIUM,strong rainfall ML signal (70.7%),"HIGH flood risk detected in North Cachar Hills, Assam. Probability: 70.7%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.7%)."
Rajasthan,Jhalawar,0.7061228755451893,HIGH,100.71999,1389.6549299999997,1558.134918,6881.714820499999,0.706123,0.0,0.0,0.706123,True,2,MEDIUM,strong rainfall ML signal (70.6%),"HIGH flood risk detected in Jhalawar, Rajasthan. Probability: 70.6%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.6%)."
Tripura,South Tripura,0.7060336210885257,HIGH,161.615,682.8149700000001,783.129968,4340.3949378,0.706034,0.0,0.0,0.706034,True,2,MEDIUM,strong rainfall ML signal (70.6%),"HIGH flood risk detected in South Tripura, Tripura. Probability: 70.6%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.6%)."
Jharkhand,Deoghar,0.7058189167223978,HIGH,5.455,361.8200200000002,393.69501902000025,5162.1199978,0.705819,0.0,0.0,0.705819,True,2,MEDIUM,strong rainfall ML signal (70.6%),"HIGH flood risk detected in Deoghar, Jharkhand. Probability: 70.6%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.6%)."
West Bengal,Uttar Dinajpur,0.7053462881695043,HIGH,97.155,562.6449799999997,686.69998002,5473.21989382,0.705346,0.0,0.0,0.705346,True,2,MEDIUM,strong rainfall ML signal (70.5%),"HIGH flood risk detected in Uttar Dinajpur, West Bengal. Probability: 70.5%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.5%)."
Jharkhand,Dhanbad,0.704949975855986,HIGH,74.725,531.7049899999998,560.33998997,4830.06989447,0.70495,0.0,0.0,0.70495,True,2,MEDIUM,strong rainfall ML signal (70.5%),"HIGH flood risk detected in Dhanbad, Jharkhand. Probability: 70.5%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.5%)."
Rajasthan,Pali,0.7025201445717478,HIGH,9.695001,692.6600210000009,806.6400205999992,6413.4148456,0.70252,0.0,0.0,0.70252,True,2,MEDIUM,strong rainfall ML signal (70.3%),"HIGH flood risk detected in Pali, Rajasthan. Probability: 70.3%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.3%)."
Arunachal Pradesh,Papum Pare,0.7024730141384087,HIGH,47.109997,401.545007,465.1750067700001,4366.994966769999,0.702473,0.0,0.0,0.702473,True,2,MEDIUM,strong rainfall ML signal (70.2%),"HIGH flood risk detected in Papum Pare, Arunachal Pradesh. Probability: 70.2%. Confidence: MEDIUM. Evidence: strong rainfall ML signal (70.2%)."
Uttar Pradesh,Mau,0.6998494164193265,HIGH,104.505,488.57500000000016,602.5950003,4661.834885900001,0.699849,0.0,0.0,0.699849,True,2,MEDIUM,moderate rainfall ML signal (70.0%),"HIGH flood risk detected in Mau, Uttar Pradesh. Probability: 70.0%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (70.0%)."
Gujarat,The Dangs,0.6985582615202085,HIGH,418.77997,751.68497,851.1949648000002,4133.914942595,0.698558,0.0,0.0,0.698558,True,2,MEDIUM,moderate rainfall ML signal (69.9%),"HIGH flood risk detected in The Dangs, Gujarat. Probability: 69.9%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.9%)."
Maharashtra,Yavatmal,0.6979189739572156,HIGH,822.755,1346.81997,1541.1649673,5267.8099449,0.697919,0.0,0.0,0.697919,True,2,MEDIUM,moderate rainfall ML signal (69.8%),"HIGH flood risk detected in Yavatmal, Maharashtra. Probability: 69.8%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.8%)."
Orissa,Nayagarh,0.6965684702739706,HIGH,405.56,1449.33497,1744.944965,7640.0299154,0.696568,0.0,0.0,0.696568,True,2,MEDIUM,moderate rainfall ML signal (69.7%),"HIGH flood risk detected in Nayagarh, Orissa. Probability: 69.7%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.7%)."
Uttar Pradesh,Rae Bareli,0.6964529396297415,HIGH,111.744995,1003.3149150000006,1149.3049149999997,9770.934793,0.696453,0.0,0.0,0.696453,True,2,MEDIUM,moderate rainfall ML signal (69.6%),"HIGH flood risk detected in Rae Bareli, Uttar Pradesh. Probability: 69.6%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.6%)."
Bihar,Madhepura,0.6956483201995154,HIGH,52.56,463.5949999999999,573.9599999899999,3823.71497799,0.695648,0.0,0.0,0.695648,True,2,MEDIUM,moderate rainfall ML signal (69.6%),"HIGH flood risk detected in Madhepura, Bihar. Probability: 69.6%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.6%)."
Arunachal Pradesh,Changlang,0.6951239014967975,HIGH,90.56,506.5699999999996,612.7549998999988,8745.6698149,0.695124,0.0,0.0,0.695124,True,2,MEDIUM,moderate rainfall ML signal (69.5%),"HIGH flood risk detected in Changlang, Arunachal Pradesh. Probability: 69.5%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.5%)."
Uttar Pradesh,Bareilly,0.69461817841585,HIGH,118.52,578.7300000000002,701.9149943000002,7355.909966300001,0.694618,0.0,0.0,0.694618,True,2,MEDIUM,moderate rainfall ML signal (69.5%),"HIGH flood risk detected in Bareilly, Uttar Pradesh. Probability: 69.5%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.5%)."
Jharkhand,Garhwa,0.6943860298350448,HIGH,66.25,1700.0699000000002,1836.2399,10029.564702,0.694386,0.0,0.0,0.694386,True,2,MEDIUM,moderate rainfall ML signal (69.4%),"HIGH flood risk detected in Garhwa, Jharkhand. Probability: 69.4%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.4%)."
Meghalaya,West Khasi Hills,0.6937723668492304,HIGH,138.045,1312.90995,1514.73995,9623.719767,0.693772,0.0,0.0,0.693772,True,2,MEDIUM,moderate rainfall ML signal (69.4%),"HIGH flood risk detected in West Khasi Hills, Meghalaya. Probability: 69.4%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.4%)."
Arunachal Pradesh,Lower Subansiri,0.6900632803857283,HIGH,9.5199995,353.9099995000014,407.559999497,5629.459962497001,0.690063,0.0,0.0,0.690063,True,2,MEDIUM,moderate rainfall ML signal (69.0%),"HIGH flood risk detected in Lower Subansiri, Arunachal Pradesh. Probability: 69.0%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.0%)."
Gujarat,Ahmadabad,0.6896996090295643,HIGH,152.94499,1944.299950000001,2210.719934,11972.874718,0.6897,0.0,0.0,0.6897,True,2,MEDIUM,moderate rainfall ML signal (69.0%),"HIGH flood risk detected in Ahmadabad, Gujarat. Probability: 69.0%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (69.0%)."
Uttar Pradesh,Ballia,0.6869532089038358,HIGH,77.795,428.95999600000016,455.8149939499996,3212.4049409500003,0.686953,0.0,0.0,0.686953,True,2,MEDIUM,moderate rainfall ML signal (68.7%),"HIGH flood risk detected in Ballia, Uttar Pradesh. Probability: 68.7%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (68.7%)."
Andhra Pradesh,Vishakhapatnam,0.6867085026810079,HIGH,748.105,1911.675,2453.0600000000004,4891.3499823,0.686709,0.0,0.0,0.686709,True,2,MEDIUM,moderate rainfall ML signal (68.7%),"HIGH flood risk detected in Vishakhapatnam, Andhra Pradesh. Probability: 68.7%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (68.7%)."
Maharashtra,Dhule,0.6859414199650727,HIGH,264.47,1005.2200000000008,1335.2949990000006,17296.074519,0.685941,0.0,0.0,0.685941,True,2,MEDIUM,moderate rainfall ML signal (68.6%),"HIGH flood risk detected in Dhule, Maharashtra. Probability: 68.6%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (68.6%)."
Manipur,Ukhrul,0.6833749981604145,HIGH,70.395,530.7999899999999,590.9449884000003,3576.3349367,0.683375,0.0,0.0,0.683375,True,2,MEDIUM,moderate rainfall ML signal (68.3%),"HIGH flood risk detected in Ukhrul, Manipur. Probability: 68.3%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (68.3%)."
Uttar Pradesh,Lalitpur,0.6824486677923877,HIGH,260.65,2001.9450000000008,2182.874998,13533.67478,0.682449,0.0,0.0,0.682449,True,2,MEDIUM,moderate rainfall ML signal (68.2%),"HIGH flood risk detected in Lalitpur, Uttar Pradesh. Probability: 68.2%. Confidence: MEDIUM. Evidence: moderate rainfall ML signal (68.2%)."
